GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kata-rest,fr.societe.generale.controller,KataRestController,235,7,10,0,38,2,12,2,7,2
kata-rest,fr.societe.generale.controller,IndexController,4,3,0,0,2,1,2,1,2,1
